rxlr_five,rxlr_three,family
11313,3359,rxlr
2002,8118,rxlr
2011,11370,rxlr
34873,4334,rxlr
3473,34873,rxlr
1698,998,rxlr
2551,2661,rxlr
2675,2660,rxlr
5244,282,rxlr
73942,44527,rxlr
26655,32018,rxlr
2585,33703,rxlr
7951,1277,rxlr
2478,12009,rxlr
19161,36409,rxlr
11171,125272,rxlr
538,1595,rxlr
28852,54063,rxlr
27373,224,rxlr
60449,2257,rxlr
55013,18556,rxlr
11971,2372,rxlr
22373,2537,rxlr
3514,4997,rxlr
4128,8635,rxlr
50685,2187,rxlr
78159,5517,rxlr
29574,472,rxlr
5429,77436,rxlr
688,61138,rxlr
26247,5466,rxlr
3582,5466,rxlr
7194,3582,rxlr
3006,3193,rxlr
18290,228,rxlr
17787,45,rxlr
1168,350,rxlr
3346,4729,rxlr
24027,32048,rxlr
11899,27126,rxlr
14666,121,rxlr
2791,21388,rxlr
584,22880,rxlr
576,9006,rxlr
1251,43632,rxlr
14213,27749,rxlr
575,47508,rxlr
1626,339,rxlr
17759,3152,rxlr
2096,5761,rxlr
16564,14898,rxlr
433,3559,rxlr
138208,16690,rxlr
2583,47869,rxlr
5808,1603,rxlr
10959,12113,rxlr
2146,1232,rxlr
4001,28996,rxlr
5399,586,rxlr
28330,96,rxlr
