Gene,Log_Tom2d
PITG_00616,0.313556057
PITG_00617,-0.169913245
PITG_00618,-0.274089893
PITG_00619,0.141430704
PITG_00620,0.427767344
PITG_00621,0.348049231
PITG_00622,-1.096587941
PITG_00623,-2.104604634
PITG_00624,0.617655826
PITG_00625,-1.081927369
PITG_00626,-0.399876629
PITG_00627,-0.258173268
PITG_00628,-0.291490007
PITG_00629,-0.670953199
PITG_00630,-0.7677554
PITG_00631,-0.439827376
PITG_00632,-1.042442088
PITG_00633,-0.795657358
PITG_00634,-0.534148196
PITG_00635,-0.224970664
PITG_00636,-1.385117571
PITG_00637,-0.947568228
PITG_00640,-0.093434486
PITG_00641,0.189027162
PITG_00642,1.466398821
PITG_00643,0.608611145
PITG_00644,-0.112950293
PITG_00645,0.022668858
PITG_00646,-0.346776586
PITG_00647,0.04042749
PITG_00648,0.244955241
PITG_00649,-0.152382678
PITG_00651,-0.533968583
PITG_00652,0.153975725
PITG_00653,-0.04417987
PITG_00654,-0.509575331
PITG_00655,-0.203063645
PITG_00656,-0.155439692
PITG_00657,0.031591975
PITG_00658,-0.588894589
PITG_00659,-0.253000854
PITG_00660,-0.212715989
PITG_00661,0.546151611
PITG_00662,-0.0813889
PITG_00663,0.447230535
PITG_00664,-1.01507689
PITG_00665,-0.420237923
PITG_00666,0.001417469
PITG_00668,-0.378950154
PITG_00669,0.068051996
PITG_00670,0.083715414
PITG_00671,0.226356634
PITG_00672,0.341383806
PITG_00673,-0.033054388
PITG_00674,0.654739098
PITG_00675,-0.306027752
PITG_00676,-0.574438917
PITG_00679,0.061983016
PITG_00680,-0.33737503
PITG_00681,-0.393379132
PITG_00682,-0.789009175
PITG_00683,0.102925854
PITG_00684,0.286477865
PITG_00685,0.151311755
PITG_00686,-0.334306253
PITG_00687,-0.153656033
PITG_00688,-0.30480217
PITG_00689,-0.673467885
PITG_00690,0.206782956
PITG_00691,-0.085353439
PITG_00692,0.783769696
PITG_00693,-0.45185849
PITG_00694,-0.258990761
PITG_00695,-1.415581507
PITG_00696,0.148765193
PITG_00697,-0.921262127
PITG_00698,0.134462301
PITG_00699,0.006652868
PITG_00700,0.116673788
PITG_00701,0.147150773
PITG_00702,-1.18111092
PITG_00703,-1.097782336
PITG_00704,0.087335959
PITG_00705,0.576600259
PITG_00706,0.259023365
PITG_00707,0.215008467
PITG_00708,-0.46348009
PITG_00709,-0.29128452
PITG_00710,-0.371675175
PITG_00711,-0.137498175
PITG_00712,0.110529343
PITG_00713,-0.110598137
PITG_00714,0.30518454
PITG_00715,0.218730463
PITG_00716,-0.086010686
PITG_00717,-0.337519824
PITG_00718,-0.384749583
PITG_00719,-0.887651722
PITG_00720,-0.587763054
PITG_00721,-0.514147406
PITG_00722,-0.258376944
PITG_00723,-0.070029432
PITG_00724,0.138891544
PITG_00725,-0.87134738
PITG_00726,-0.227086454
PITG_00728,0.307271439
PITG_00729,0.192360905
PITG_00730,0.219037597
PITG_00731,-0.060816859
PITG_00732,-0.744686831
PITG_00733,-1.142258295
PITG_00734,0.093938737
PITG_00735,-0.324702323
PITG_00737,-1.417288464
PITG_00739,-0.234210501
PITG_00740,0.308070801
PITG_00741,-0.135487878
PITG_00742,0.266461709
PITG_00743,-0.404822803
PITG_00744,-0.45979698
PITG_00745,-0.102715631
PITG_00746,-1.272558049
PITG_00747,-1.025916912
PITG_00748,-0.185533623
PITG_00750,1.146129511
PITG_00751,-0.097617886
PITG_00752,-0.060447167
PITG_00753,-0.431301861
PITG_00754,0.231218651
PITG_00755,0.247199842
PITG_00756,-1.52764218
PITG_00757,0.328186262
PITG_00758,0.153880376
PITG_00760,-0.018838635
PITG_00761,-0.504493315
PITG_00762,-0.328634822
PITG_00763,-0.505388704
PITG_00764,-1.381533952
PITG_00765,-0.567018956
PITG_00766,0.593796097
PITG_00767,-0.558454508
PITG_00770,-0.38309123
PITG_00771,-0.288064238
PITG_00772,0.423644918
PITG_00773,0.193714077
PITG_00774,0.898920852
PITG_00776,0.014067675
PITG_00777,-0.292233776
PITG_00778,0.060361347
PITG_00782,-0.519505949
PITG_00783,-0.291893106
PITG_00786,-0.31518574
PITG_00787,-0.863957141
PITG_00788,0.129277089
PITG_00789,0.204466792
PITG_00790,-0.611215261
PITG_00791,0.147949377
PITG_00792,0.418858856
PITG_00793,0.63287068
PITG_00794,0.10847468
PITG_00795,-0.252334028
PITG_00796,0.313764
PITG_00797,-0.355356987
PITG_00798,-0.137325753
PITG_00799,-0.289569969
PITG_00800,-0.103003635
PITG_00804,-0.778957635
PITG_00805,0.955903878
PITG_00806,0.460279208
PITG_00807,1.065622028
PITG_00808,0.038458081
PITG_00809,-0.685215896
PITG_00810,0.592168596
PITG_00811,2.065865961
PITG_00813,-0.646552001
PITG_00814,-0.018593131
PITG_00816,-0.433315048
PITG_00818,-0.610091354
PITG_00819,0.267747048
PITG_00820,-0.515867351
PITG_00821,0.530434557
PITG_00827,-0.605427778
PITG_00828,-0.513685539
PITG_00829,-0.315254542
PITG_00830,-0.080402335
PITG_00831,-0.602401156
PITG_00832,0.030847883
PITG_00833,-3.073761685
PITG_00834,-0.453489592
PITG_00839,-0.389855899
PITG_00840,-1.380034377
PITG_00841,-0.480393686
PITG_00842,-1.193921392
PITG_00843,-0.606645746
PITG_00844,-0.834372391
PITG_00845,-0.262459869
PITG_00846,-0.504339269
PITG_00847,-1.476897179
PITG_00848,0.004515504
PITG_00849,-0.138338042
PITG_00850,-0.513399027
PITG_00851,-0.800926409
PITG_00852,0.252745418
PITG_00853,-0.008554414
PITG_00854,-0.207627181
PITG_00855,-0.208753041
PITG_00856,-0.045341717
PITG_00857,-1.24171008
PITG_00858,-0.351783258
PITG_00859,0.110595674
PITG_00860,0.684097351
PITG_00861,-0.002379595
PITG_00862,0.066785114
PITG_00863,-0.728000578
PITG_00864,0.439879165
PITG_00865,1.079111349
PITG_00866,0.330225491
PITG_00867,-0.683571104
PITG_00868,0.010077217
PITG_00869,0.049076726
PITG_00870,1.290384292
PITG_00871,-0.238906539
PITG_00872,-0.020648803
PITG_00874,0.47702519
PITG_00875,0.001804187
PITG_00877,-0.093103932
PITG_00878,-1.103512104
PITG_00879,-0.575082074
PITG_00880,-0.342332165
PITG_00881,-0.011756964
PITG_00882,-0.311663879
PITG_00883,-0.224926129
PITG_00884,-0.777495397
PITG_00885,-0.363240188
PITG_00886,-0.136738758
PITG_00887,0.027776497
PITG_00888,-0.134849055
PITG_00889,-0.06761928
PITG_00891,0.02371954
PITG_00892,0.505960844
PITG_00893,-0.163474375
PITG_00894,0.085096963
PITG_00896,0.356088199
PITG_00897,-0.358135108
PITG_00898,-0.328028854
PITG_00899,-0.037240677
PITG_00903,0.508261235
PITG_00904,-0.076441119
PITG_00905,-0.169163152
PITG_00906,0.786063464
PITG_00907,-0.276705632
PITG_00908,-0.307701527
PITG_00909,0.149099519
PITG_00910,-0.216076077
PITG_00911,-0.195432425
PITG_00912,-0.924901769
PITG_00913,-0.476172548
PITG_00914,-0.645388958
PITG_00915,0.269276624
PITG_00916,-0.002584519
PITG_00917,-0.298164559
PITG_00918,-0.19331349
PITG_00919,0.168373927
PITG_00920,-0.37114657
PITG_00921,-2.38009714
PITG_00923,0.68394828
PITG_00925,0.098102719
PITG_00926,0.143404646
PITG_00927,0.321103055
PITG_00928,0.386695592
PITG_00929,0.380404578
PITG_00930,-1.458315734
PITG_00931,-0.995200556
PITG_00932,-0.494844387
PITG_00933,0.299145129
PITG_00934,-0.189475272
PITG_00935,0.195722231
PITG_00936,0.209328927
PITG_00937,0.543168016
PITG_00938,-0.67889572
PITG_00939,-0.157065287
PITG_00940,0.199782186
PITG_00941,-0.241359527
PITG_00942,-1.163153341
PITG_00943,-0.467488258
PITG_00944,0.678596635
PITG_00945,-0.052179218
PITG_00946,0.568458236
PITG_00947,-0.241478573
PITG_00948,-0.460892791
PITG_00952,-0.419932621
PITG_00953,-0.050320316
PITG_00954,0.06102756
PITG_00955,-0.024752065
PITG_00957,0.461081232
PITG_00958,0.033987479
PITG_00960,-0.629988574
PITG_00961,-0.106781637
PITG_00962,0.868412034
PITG_00963,-0.210794559
PITG_00964,-0.343234053
PITG_00965,-0.505238701
PITG_00966,0.429732289
PITG_00967,-0.398987821
PITG_00968,-0.877044259
PITG_00970,-0.724198839
PITG_00971,0.731626246
PITG_00972,0.122718522
PITG_00973,-0.475232482
PITG_00974,-0.226803118
PITG_00977,0.049655781
PITG_00978,-0.515575404
PITG_00979,-0.414650529
PITG_00980,-0.531729355
PITG_00981,-0.161513892
PITG_00982,-0.214937292
PITG_00983,-0.418297335
PITG_00984,-0.450853575
PITG_00985,0.057115196
PITG_00986,-0.850220058
PITG_00987,-1.53237772
PITG_00988,-0.246782586
PITG_00989,-0.272306908
PITG_00990,0.102375079
PITG_00991,-0.988115107
PITG_00993,-0.118444399
PITG_00994,0.00384596
PITG_00995,0.204726492
PITG_00996,1.489983814
PITG_00997,-0.590803517
PITG_00998,-0.572300567
PITG_00999,-0.814150533
PITG_01000,-0.788417936
PITG_01001,-0.252785065
PITG_01002,0.493374893
PITG_01003,-0.40619293
PITG_01004,-0.439930158
PITG_01005,-0.206923356
PITG_01006,-0.512102182
PITG_01007,0.02915678
PITG_01008,-0.475957101
PITG_01009,0.10873109
PITG_01010,0.771427088
